@relation A4

@attribute Idade numeric
@attribute Atraso numeric
@attribute Valor numeric
@attribute CONTATO numeric
@attribute EFETIVO numeric
@attribute Acordo numeric

@data
1,6,1,4,1,1
4,1,2,12,1,1
1,0,1,6,1,1
0,1,1,7,1,1
0,1,1,5,1,1
0,6,0,2,1,1
1,2,1,5,1,1
2,0,1,3,1,1
1,2,2,5,1,1
1,2,1,4,1,1
4,2,1,2,1,1
4,6,0,3,1,1
2,2,1,2,2,1
2,6,0,4,1,0
1,1,5,7,2,1
0,6,0,3,1,0
4,6,0,2,2,1
1,2,2,6,1,1
1,2,1,7,1,1
1,2,1,4,1,1
2,0,1,3,1,1
1,0,5,9,1,0
0,0,2,7,1,1
1,2,1,3,1,0
1,0,5,3,1,0
0,0,1,4,1,1
2,0,2,8,1,1
0,2,2,5,1,1
0,6,0,2,1,1
2,2,1,2,1,1
1,2,1,2,1,1
4,0,2,4,1,1
4,2,2,2,1,0
0,2,0,2,1,1
4,2,1,6,1,1
4,6,0,4,1,1
1,2,1,3,1,1
1,0,2,6,1,1
0,2,1,3,1,1
1,6,0,1,1,1
1,2,1,6,1,1
1,0,2,4,1,1
0,1,1,5,1,1
0,6,0,4,1,1
0,6,0,5,1,1
4,1,5,9,1,1
2,6,1,6,2,1
1,2,0,3,1,1
0,6,0,5,2,1
4,6,0,2,1,1
2,2,0,7,1,1
2,2,0,5,1,1
4,6,0,2,2,1
1,6,0,4,1,0
1,6,0,5,1,1
2,6,0,7,1,1
4,6,0,9,1,1
4,1,1,3,2,1
4,6,0,3,1,1
0,1,1,7,1,1
0,1,2,5,1,1
1,0,2,7,1,0
1,1,2,2,1,0
1,0,1,4,1,0
4,2,1,7,2,1
4,6,1,3,1,1
4,2,1,4,2,1
2,2,2,2,1,1
2,1,5,6,2,1
4,0,1,6,1,1
4,6,0,2,1,1
2,6,0,1,1,1
4,1,5,3,1,1
4,6,0,5,1,1
2,0,1,2,1,1
2,0,5,7,1,1
0,1,1,2,1,1
1,2,2,1,1,1
1,0,1,3,1,1
4,1,2,6,1,1
4,6,1,5,1,1
0,0,2,9,1,1
2,0,2,7,1,0
0,1,1,2,1,1
4,0,5,5,1,1
0,0,2,5,1,1
1,1,2,4,1,1
4,0,2,2,1,0
4,1,2,3,1,1
4,2,5,2,1,1
4,6,0,2,1,1
4,6,2,5,1,1
4,6,0,3,1,1
2,6,0,1,1,1
2,0,5,10,1,0
2,2,1,2,1,1
1,0,5,4,1,1
4,6,0,8,1,1
4,1,5,5,2,1
2,6,1,5,1,1
4,1,5,4,1,1
4,2,1,4,1,1
4,2,5,2,1,1
4,6,0,13,1,1
4,0,5,2,1,1
4,0,5,5,1,1
1,6,1,4,1,1
4,0,2,7,1,1
1,6,1,5,1,1
4,1,5,2,1,1
1,6,1,4,1,1
1,1,1,5,1,1
4,2,1,3,2,1
4,1,2,4,2,1
4,0,2,9,1,1
0,0,2,4,1,1
1,0,1,7,1,1
1,0,1,4,1,1
1,6,0,5,1,1
0,1,2,5,1,1
4,0,2,3,1,0
4,0,2,1,1,0
4,2,2,4,1,1
2,1,5,5,3,0
